Nameserver	IP
arvind.ns.cloudflare.com	108.162.195.227
arvind.ns.cloudflare.com	162.159.44.227
arvind.ns.cloudflare.com	172.64.35.227
arya.ns.cloudflare.com	108.162.192.70
arya.ns.cloudflare.com	172.64.32.70
arya.ns.cloudflare.com	173.245.58.70
aryanna.ns.cloudflare.com	108.162.194.95
aryanna.ns.cloudflare.com	162.159.38.95
aryanna.ns.cloudflare.com	172.64.34.95
asa.ns.cloudflare.com	108.162.192.246
asa.ns.cloudflare.com	173.245.58.246
asa.ns.cloudflare.com	172.64.32.246
ashley.ns.cloudflare.com	173.245.58.71
ashley.ns.cloudflare.com	172.64.32.71
ashley.ns.cloudflare.com	108.162.192.71
ashton.ns.cloudflare.com	108.162.195.173
ashton.ns.cloudflare.com	162.159.44.173
ashton.ns.cloudflare.com	172.64.35.173
aspen.ns.cloudflare.com	108.162.194.109
aspen.ns.cloudflare.com	162.159.38.109
aspen.ns.cloudflare.com	172.64.34.109
athena.ns.cloudflare.com	172.64.32.72
athena.ns.cloudflare.com	108.162.192.72
athena.ns.cloudflare.com	173.245.58.72
audrey.ns.cloudflare.com	108.162.194.66
audrey.ns.cloudflare.com	162.159.38.66
audrey.ns.cloudflare.com	172.64.34.66
augustus.ns.cloudflare.com	172.64.35.2
augustus.ns.cloudflare.com	108.162.195.2
augustus.ns.cloudflare.com	162.159.44.2
aurora.ns.cloudflare.com	108.162.194.110
aurora.ns.cloudflare.com	162.159.38.110
aurora.ns.cloudflare.com	172.64.34.110
austin.ns.cloudflare.com	108.162.193.70
austin.ns.cloudflare.com	172.64.33.70
austin.ns.cloudflare.com	173.245.59.70
autumn.ns.cloudflare.com	108.162.194.148
autumn.ns.cloudflare.com	162.159.38.148
autumn.ns.cloudflare.com	172.64.34.148
bailey.ns.cloudflare.com	108.162.194.41
bailey.ns.cloudflare.com	162.159.38.41
bailey.ns.cloudflare.com	172.64.34.41
barbara.ns.cloudflare.com	108.162.192.248
barbara.ns.cloudflare.com	172.64.32.248
barbara.ns.cloudflare.com	173.245.58.248
bart.ns.cloudflare.com	108.162.193.71
bart.ns.cloudflare.com	172.64.33.71
bart.ns.cloudflare.com	173.245.59.71
bayan.ns.cloudflare.com	108.162.193.72
bayan.ns.cloudflare.com	172.64.33.72
bayan.ns.cloudflare.com	173.245.59.72
beau.ns.cloudflare.com	108.162.193.73
beau.ns.cloudflare.com	172.64.33.73
beau.ns.cloudflare.com	173.245.59.73
becky.ns.cloudflare.com	108.162.192.73
becky.ns.cloudflare.com	172.64.32.73
becky.ns.cloudflare.com	173.245.58.73
bella.ns.cloudflare.com	173.245.58.74
bella.ns.cloudflare.com	108.162.192.74
bella.ns.cloudflare.com	172.64.32.74
ben.ns.cloudflare.com	108.162.193.103
ben.ns.cloudflare.com	172.64.33.103
ben.ns.cloudflare.com	173.245.59.103
benedict.ns.cloudflare.com	108.162.195.205
benedict.ns.cloudflare.com	162.159.44.205
benedict.ns.cloudflare.com	172.64.35.205
beth.ns.cloudflare.com	173.245.58.103
beth.ns.cloudflare.com	172.64.32.103
beth.ns.cloudflare.com	108.162.192.103
bethany.ns.cloudflare.com	108.162.194.31
bethany.ns.cloudflare.com	162.159.38.31
bethany.ns.cloudflare.com	172.64.34.31
betty.ns.cloudflare.com	172.64.32.75
